fiNum;fiDiasPermanencia;fnTasaRecuperacion;fnTasaLiquidacion;fnAforoUtilizado;fnInteresOrdinario;fnColocacionAnual;fnYield;
1322777;1;;;0.9500;;;;
2667030;64;0.0000;0.0000;0.8600;;;;
2843192;140;1.0000;1.0000;0.9100;283.00;;0.3675;
2506787;1779;1.0000;;0.8700;1287.00;;0.3563;
2670717;1;;;0.9300;;;;
2087698;38;0.0000;0.0000;0.9200;;;;
1420989;1;;;0.9300;641.00;;;
1166692;496;1.0000;1.0000;0.9100;4692.00;;1.2768;
348757;57;0.0000;0.0000;0.8600;;;;
954879;286;0.8100;0.3300;0.9300;2353.00;;5.5870;
632401;1094;0.9100;0.4000;1.0000;2700.00;550.00;1.2610;
190726;1;;;0.9100;;1020.00;;
2338702;113;1.0000;1.0000;0.8600;3839.00;;0.3301;
1772198;57;0.0000;0.0000;0.9200;;;;
642080;251;1.0000;1.0000;1.0700;823.00;8270.00;0.3521;
288027;1;;;0.9300;;;;
2269349;1;;;0.9300;;;;
3033374;58;0.0000;0.0000;0.9300;;;;
1575040;61;0.0000;0.0000;0.9300;825.00;;;
1976990;361;1.0000;1.0000;1.0100;4490.00;26790.00;0.7345;
1645889;855;1.0000;1.0000;0.8200;2013.00;5800.00;0.6602;
2815747;431;1.0000;1.0000;0.9000;157.00;;0.2141;
1067409;184;1.0000;1.0000;1.0700;1717.00;;0.2488;
475197;233;0.8800;0.0000;0.9200;1643.00;;;
2349278;92;0.6700;0.0000;0.9100;86.00;;;
1657430;3;;;0.9300;;;;
130994;1251;0.9300;0.6700;0.8800;9060.00;;0.7403;
241659;337;1.0000;1.0000;0.9700;1386.00;7500.00;0.1848;
485104;2549;1.0000;1.0000;0.9400;2649.00;;0.2044;
793154;1;;;0.9100;;;;
2632797;353;0.9400;0.5000;0.9500;549.00;;1.0554;
1366803;101;0.0000;0.0000;0.9200;;;;
76058;22;1.0000;1.0000;0.9200;174.00;;0.0760;
964032;2;;;0.9100;;42110.00;;
2148732;1;;;0.9300;;;;
2654621;398;0.8300;0.5000;0.9900;925.00;;0.8213;
379287;85;0.5000;0.0000;0.9500;50.00;;;
2107920;1;;;0.9300;;;;
364338;57;0.0000;0.0000;0.9200;;;;
2897352;146;0.3300;0.0000;0.9100;49.00;;;
508805;84;1.0000;1.0000;0.8900;481.00;;0.2100;
2348316;88;1.0000;1.0000;1.1200;520.00;;0.1251;
1594688;290;0.9100;0.8300;0.7100;5169.00;;0.9284;
2620765;1;;;0.9200;78.00;;;
164270;36;0.0000;0.0000;0.9300;;;;
2651876;458;1.0000;1.0000;0.9500;573.00;;1.0648;
1347478;1648;1.0000;1.0000;0.9900;3668.00;;0.7060;
1571692;312;0.9100;0.6700;0.9400;1490.00;;1.1160;
960761;1;;;0.9300;707.00;;;
682284;1;;;0.9400;;;;
1298158;552;0.8900;0.5000;0.9400;1431.00;;1.6880;
713687;1039;0.9800;0.8000;0.9400;18540.00;;1.7048;
1594614;26;1.0000;1.0000;0.7700;79.00;;0.0952;
2147562;464;0.8900;0.3300;0.8900;2193.00;;0.6617;
1732353;38;1.0000;1.0000;0.8600;396.00;6980.00;0.0567;
2825188;211;0.9000;0.6700;0.9300;677.00;;0.4637;
1784733;1;;;0.9200;;;;
1421960;7;;;0.9300;;;;
2221842;1;;;0.9300;;;;
217724;2;;;0.9300;;;;
1246166;57;0.0000;0.0000;0.9200;;;;
704722;2;;;0.9300;;;;
218296;311;0.8900;0.5000;0.9400;661.00;;0.5079;
63335;142;1.0000;1.0000;0.9200;598.00;;0.4437;
1797186;168;1.0000;;1.4800;689.00;2200.00;0.3132;
2008377;1;;;0.9200;;;;
446736;6;1.0000;1.0000;0.9200;17.00;;0.0221;
1982489;1;;;0.9300;;;;
2408742;92;0.5000;0.0000;1.0200;85.00;;;
940806;1805;1.0000;1.0000;0.9900;3036.00;;1.5796;
1877346;57;0.0000;0.0000;0.9100;;;;
1152337;1;;;0.9300;;;;
468384;58;0.0000;0.0000;0.9800;;;;
119177;342;0.9100;0.0000;0.9100;2560.00;;;
302842;1;;;0.9100;;;;
2558807;133;0.2500;0.0000;0.9200;122.00;;;
1411484;451;0.9800;0.8000;0.9100;2624.00;;0.8622;
2581843;1;;;0.9300;;;;
2162185;1;;;0.9200;;;;
1649915;561;0.9200;0.6700;0.9400;2435.00;1430.00;2.7063;
2176132;1;;;0.9300;;;;
1420016;2;;;0.9300;;;;
3026054;58;0.0000;0.0000;0.9200;;;;
549729;37;0.0000;0.0000;0.9100;;;;
859807;57;0.0000;0.0000;0.9200;135.00;;;
2211555;2;;;0.9300;;;;
565639;991;1.0000;1.0000;0.9800;4655.00;;1.1936;
456262;999;0.9400;0.5000;0.9600;1815.00;500.00;1.3038;
1239268;64;0.0000;0.0000;0.9200;;;;
1925673;1;;;0.9200;;;;
846313;71;1.0000;1.0000;1.2100;461.00;;0.0928;
1198887;1707;1.0000;1.0000;1.0400;576.00;1670.00;0.6890;
1540860;274;0.0000;0.0000;0.9300;;2060.00;;
745740;57;0.0000;0.0000;0.9200;;;;
2708202;1;;;0.9300;33.00;;;
1706079;22;1.0000;1.0000;0.9200;66.00;;0.1031;
1296656;38;0.0000;0.0000;0.9300;;;;
1152487;2;;;0.9100;;6660.00;;
1403624;38;0.0000;0.0000;0.7300;308.00;;;
91892;37;0.0000;0.0000;0.9300;;;;
382612;84;0.6700;0.0000;0.9200;578.00;;;
1624428;530;0.9400;0.7500;0.9200;1539.00;1420.00;1.2166;
2503562;16;1.0000;1.0000;0.9200;30.00;;0.0229;
2180173;836;0.8800;0.1300;0.9000;2996.00;;8.7538;
466297;84;1.0000;1.0000;0.7300;739.00;5000.00;0.1478;
990382;111;0.6700;0.5000;0.9700;196.00;;0.2685;
1863569;1979;0.9900;0.8400;0.9100;1249.00;3870.00;0.4249;
1428973;1;;;0.9100;;;;
2646743;64;0.0000;0.0000;0.9200;;;;
2798622;157;0.8000;0.0000;0.8900;134.00;;;
588942;46;1.0000;1.0000;0.9100;57.00;;0.1500;
1273670;64;0.0000;0.0000;0.8600;;2970.00;;
1839409;64;0.0000;0.0000;0.8600;;2220.00;;
1713850;1030;0.9800;0.8300;0.9300;1384.00;;0.9629;
2398168;696;0.9600;0.0000;0.9100;714.00;;;
915482;879;1.0000;0.9500;0.9100;10992.00;;0.8511;
943193;51;1.0000;1.0000;0.9200;185.00;;0.0916;
541260;834;1.0000;1.0000;0.9100;1096.00;;1.2540;
2992270;2246;1.0000;1.0000;0.5900;12609.00;14160.00;0.6419;
1673567;1706;0.9800;0.9400;0.9900;2116.00;;1.5210;
